row_number,id,category,question,option_A,option_B,option_C,option_D,answer
248,1797,counter_logic,"某大件物流关卡规定：本通道仅允许总载重量严格大于 4 吨的重型车辆通行（过滤轻型车）。
当前候选车辆载重量为：[2, 3, 4, 5] 吨。
满足要求且载重量最低的车辆是哪个？",5,2,3,4,A
249,1715,pattern_recognition,"序列补全：4, 6, 8, 10, ?
缺失的数字应该是？",12,15,11,13,A
250,7703,counter_logic,"某学术课题遴选要求：入围者得分必须严格高于 14 分。
候选人得分列表为：[5, 10, 11, 12] 分。
最低入围得分应为哪个？（若无候选人分数达标，请选「无入围候选人」）",无入围候选人,12,11,10,A
251,1710,pattern_recognition,"逻辑规则：合规数列要求每相邻两项差值恒定为 3。
下列选项中哪个满足要求？",2-5-5-11,2-5-8-14,2-5-8-12,2-5-8-11,D
252,1280,counter_logic,"化学实验要求：反应炉内温度必须严格高于 4 摄氏度。
可调节档位（摄氏度）：[1, 3, 4, 9]。
能满足安全要求且能耗最小的温度档位是？",9,4,3,1,A
253,2130,counter_logic,"某学术课题遴选要求：入围者得分必须严格高于 15 分。
候选人得分列表为：[8, 9, 11, 17] 分。
最低入围得分应为哪个？",9,11,8,17,D
254,6529,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：特级 > 一级 > 二级 > 三级 > 四级。
该申请已由「三级」级别完成审批，「四级」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",不能覆盖 / 不可以,无法判断,规则不适用,能够覆盖 / 可以,A
255,1744,pattern_recognition,"序列补全：3, 7, 11, 15, 19, ?
缺失的数字应该是？",23,24,22,28,A
256,8055,pattern_recognition,"数列延续：6, 8, 10, 12, 14, ?
按照既定模式，下一项是？",15,17,19,16,D
257,2180,pattern_recognition,"序列补全：4, 6, 8, 10, 12, ?
缺失的数字应该是？",14,17,13,15,A
258,2079,pattern_recognition,"序列补全：7, 11, 15, 19, 23, 27, ?
缺失的数字应该是？",36,32,30,31,D
259,9369,counter_logic,"集合 S = {14, 15, 17, 20}，从 S 中选出严格大于 22 的最小元素。
该函数的返回值应为？（若集合中不存在满足条件的元素，请选「集合中无满足条件的元素」）",20,集合中无满足条件的元素,17,14,B
260,3579,pattern_recognition,"序列补全：7, 10, 13, 16, 19, 22, ?
缺失的数字应该是？",26,24,29,25,D
261,4948,counter_logic,"集合 S = {6, 11, 12, 19}，从 S 中选出严格大于 12 的最小元素。
该函数的返回值应为？",11,6,12,19,D
262,1958,hierarchy_logic,"组织决策体系：决策权限分级为 钻石 > 铂金 > 黄金 > 白银 > 青铜。
当前决议由「青铜」层级通过，现「铂金」层级要求重新审议。
重新审议请求是否有效？",无法判断,能够覆盖 / 可以,规则不适用,不能覆盖 / 不可以,B
263,2217,counter_logic,"化学实验要求：反应炉内温度必须严格高于 6 摄氏度。
可调节档位（摄氏度）：[2, 4, 5, 12]。
能满足安全要求且能耗最小的温度档位是？",5,2,4,12,D
264,3369,pattern_recognition,"数列验证标准：有效序列必须是公差为 3 的连续递增数列。
请识别出符合标准的序列：",3-6-9-12-12,3-6-10-12-15,3-6-9-12-15,3-6-9-12-18,C
265,2874,hierarchy_logic,"在某权限控制体系中，级别由高到低依次为：极密 > 机密 > 秘密 > 内部 > 公开。
当前资源处于「极密」级别锁定状态，认证凭证所属级别为「秘密」。
该凭证是否具备解锁权限？",无法判断,规则不适用,不能覆盖 / 不可以,能够覆盖 / 可以,C
266,5530,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：极密 > 机密 > 秘密 > 内部 > 公开。
该申请已由「极密」级别完成审批，「秘密」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",无法判断,规则不适用,不能覆盖 / 不可以,能够覆盖 / 可以,C
267,9498,counter_logic,"项目评审规则：方案报价必须严格高于成本基准线 15 万元才具备参选资格。
各参选报价（万元）：[12, 14, 15, 17]。
哪个是具备参选资格中报价最低的？",14,15,12,17,D
268,8349,pattern_recognition,"在数列 7, 9, 9, 10, 11 中，识别出违反等差规律的元素：",10,7,11,9,D
269,4090,pattern_recognition,"数列验证标准：有效序列必须是公差为 3 的连续递增数列。
请识别出符合标准的序列：",8-11-14-17,8-11-11-17,8-11-14-18,8-11-14-20,A
270,5332,pattern_recognition,"数列验证标准：有效序列必须是公差为 2 的连续递增数列。
请识别出符合标准的序列：",2-4-6-6,2-4-6-10,2-5-6-8,2-4-6-8,D
271,4919,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：董事会 > 总裁办公室 > 业务部门 > 项目组 > 个人。
该申请已由「业务部门」级别完成审批，「项目组」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",不能覆盖 / 不可以,能够覆盖 / 可以,规则不适用,无法判断,A
272,8849,counter_logic,"某学术课题遴选要求：入围者得分必须严格高于 8 分。
候选人得分列表为：[1, 5, 6, 9] 分。
最低入围得分应为哪个？",9,5,6,1,A
273,2771,hierarchy_logic,"系统访问控制规则：权限层级为 特级 > 一级 > 二级 > 三级 > 四级。
目标资源的保护级别是「三级」，用户持有的访问令牌级别为「一级」。
该用户能否成功访问此资源？",无法判断,能够覆盖 / 可以,规则不适用,不能覆盖 / 不可以,B
274,6221,pattern_recognition,"以下序列中，有且仅有一个数字破坏了等差规律：
10, 9, 10, 11, 12
请找出这个不符合规律的数字。",12,10,9,11,B
275,4522,pattern_recognition,"逻辑规则：合规数列要求每相邻两项差值恒定为 3。
下列选项中哪个满足要求？",6-9-12-15-19,6-9-12-15-15,6-9-12-15-18,6-9-12-15-21,C
276,8444,counter_logic,"某学术课题遴选要求：入围者得分必须严格高于 15 分。
候选人得分列表为：[8, 12, 14, 22] 分。
最低入围得分应为哪个？",14,8,12,22,D
277,3646,hierarchy_logic,"在材料强度测试规范中，强度等级由高到低依次为：S级 > A级 > B级 > C级 > D级。
承受体当前等级为「A级」，攻击源强度等级为「S级」。
该攻击源是否具有击穿/覆盖承受体的强度？",无法判断,规则不适用,能够覆盖 / 可以,不能覆盖 / 不可以,C
278,2443,pattern_recognition,"序列补全：7, 8, 9, 10, ?
缺失的数字应该是？",11,12,10,13,A
279,9920,pattern_recognition,"数列验证标准：有效序列必须是公差为 1 的连续递增数列。
请识别出符合标准的序列：",6-7-8-10,6-8-10-12,6-6-8-9,6-7-8-9,D
280,5978,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：极密 > 机密 > 秘密 > 内部 > 公开。
该申请已由「内部」级别完成审批，「公开」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",规则不适用,不能覆盖 / 不可以,能够覆盖 / 可以,无法判断,B
281,1517,counter_logic,"化学实验要求：反应炉内温度必须严格高于 13 摄氏度。
可调节档位（摄氏度）：[8, 10, 11, 17]。
能满足安全要求且能耗最小的温度档位是？",8,10,17,11,C
282,4727,pattern_recognition,"逻辑规则：合规数列要求每相邻两项差值恒定为 2。
下列选项中哪个满足要求？",9-9-13-15-17,9-11-14-15-17,9-11-13-15-19,9-11-13-15-17,D
283,4070,counter_logic,"某学术课题遴选要求：入围者得分必须严格高于 5 分。
候选人得分列表为：[2, 3, 4, 6] 分。
最低入围得分应为哪个？",3,4,2,6,D
284,4920,counter_logic,"化学实验要求：反应炉内温度必须严格高于 7 摄氏度。
可调节档位（摄氏度）：[3, 5, 7, 9]。
能满足安全要求且能耗最小的温度档位是？",7,3,9,5,C
285,4608,hierarchy_logic,"系统访问控制规则：权限层级为 极密 > 机密 > 秘密 > 内部 > 公开。
目标资源的保护级别是「机密」，用户持有的访问令牌级别为「极密」。
该用户能否成功访问此资源？",不能覆盖 / 不可以,规则不适用,无法判断,能够覆盖 / 可以,D
286,2344,counter_logic,"某学术课题遴选要求：入围者得分必须严格高于 10 分。
候选人得分列表为：[3, 7, 9, 12] 分。
最低入围得分应为哪个？",7,12,3,9,B
287,9151,pattern_recognition,"异常检测：序列 10, 9, 12, 15, 18 中哪个数字偏离了等差模式？",15,18,10,12,C
288,2745,counter_logic,"某大件物流关卡规定：本通道仅允许总载重量严格大于 8 吨的重型车辆通行（过滤轻型车）。
当前候选车辆载重量为：[6, 7, 8, 10] 吨。
满足要求且载重量最低的车辆是哪个？",10,6,7,8,A
289,1842,pattern_recognition,"在某数学认证规则中，「合法数列」定义为：公差严格为 1 的递增等差数列。
以下哪个序列是合法的？",6-7-8-9,6-7-8-8,7-7-8-9,6-7-8-10,A
290,3184,hierarchy_logic,"在材料强度测试规范中，强度等级由高到低依次为：S级 > A级 > B级 > C级 > D级。
承受体当前等级为「C级」，攻击源强度等级为「D级」。
该攻击源是否具有击穿/覆盖承受体的强度？",无法判断,规则不适用,不能覆盖 / 不可以,能够覆盖 / 可以,C
291,4585,hierarchy_logic,"审批流程规则中，审批权限由高到低依次为：董事会 > 总裁办公室 > 业务部门 > 项目组 > 个人。
该申请已由「总裁办公室」级别完成审批，「业务部门」级别提出复核申请。
该复核是否具有覆盖当前审批结果的权限？",无法判断,能够覆盖 / 可以,规则不适用,不能覆盖 / 不可以,D
292,5026,counter_logic,"某大件物流关卡规定：本通道仅允许总载重量严格大于 4 吨的重型车辆通行（过滤轻型车）。
当前候选车辆载重量为：[1, 2, 4, 7] 吨。
满足要求且载重量最低的车辆是哪个？",1,4,7,2,C
293,5933,counter_logic,"化学实验要求：反应炉内温度必须严格高于 18 摄氏度。
可调节档位（摄氏度）：[10, 12, 13, 15]。
能满足安全要求且能耗最小的温度档位是？（若无温度满足要求，请选「无合规温度档位」）",12,13,无合规温度档位,10,C
294,4012,counter_logic,"项目评审规则：方案报价必须严格高于成本基准线 16 万元才具备参选资格。
各参选报价（万元）：[12, 14, 16, 21]。
哪个是具备参选资格中报价最低的？",21,16,12,14,A
295,6651,counter_logic,"化学实验要求：反应炉内温度必须严格高于 12 摄氏度。
可调节档位（摄氏度）：[4, 6, 7, 11]。
能满足安全要求且能耗最小的温度档位是？（若无温度满足要求，请选「无合规温度档位」）",11,无合规温度档位,7,6,B
296,8319,counter_logic,"集合 S = {2, 3, 4, 8}，从 S 中选出严格大于 6 的最小元素。
该函数的返回值应为？",2,8,4,3,B
297,3068,hierarchy_logic,"在材料强度测试规范中，强度等级由高到低依次为：特级 > 一级 > 二级 > 三级 > 四级。
承受体当前等级为「一级」，攻击源强度等级为「三级」。
该攻击源是否具有击穿/覆盖承受体的强度？",无法判断,能够覆盖 / 可以,规则不适用,不能覆盖 / 不可以,D
298,4460,pattern_recognition,"观察以下等差数列：8, 10, 12, 14, 16, 18, ?
根据规律，?处应填入哪个数字？",19,21,23,20,D
299,7499,counter_logic,"项目评审规则：方案报价必须严格高于成本基准线 12 万元才具备参选资格。
各参选报价（万元）：[5, 10, 11, 18]。
哪个是具备参选资格中报价最低的？",5,11,18,10,C
300,6661,pattern_recognition,"逻辑规则：合规数列要求每相邻两项差值恒定为 2。
下列选项中哪个满足要求？",5-7-9-9,5-7-9-13,5-7-9-11,5-7-9-12,C
