dataset_index,v1_instruction,v2_instruction,input,v1_output,v2_output,system
31469,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“BR”的选项。,"身份：landlord
手牌：344556667889TQQKA2BR
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. BR (王炸)
2. 445566 (连对)
3. 34567 (顺子)
4. 3456789 (顺子)
5. 3456789T (顺子)
6. 345678 (顺子)
7. 6789T (顺子)
8. 456789T (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出王炸，强势控场，限制对手出牌选择 出牌：BR。,在当前局势下，打出“BR”本是最优策略，但由于特殊规则禁止出“BR”，为了遵守指令，我选择次优方案打出“445566”。 出牌：445566。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
31504,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“999QQ”的选项。,"身份：peasant_up
手牌：46678999JQQAR
历史出牌：P0:3KKK -> P1:pass -> P2:9222 -> P0:pass -> P1:pass
局势信息：剩余牌数:[16, 17, 13]

当前可行出牌选项：
1. 999QQ (三带二)
2. 999J (三带一)
3. 999 (三张)
4. 66 (对子)
5. QQ (对子)
6. 7 (单张)
7. 6 (单张)
8. 4 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出999带对Q，组合出牌消耗对Q，保留大王后手 出牌：999QQ。,在当前局势下，打出“999QQ”本是最优策略，但由于特殊规则禁止出“999QQ”，为了遵守指令，我选择次优方案打出“999J”。 出牌：999J。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
31567,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“556677”的选项。,"身份：landlord
手牌：3445566778TJJJQAAA22
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 556677 (连对)
2. 44556677 (连对)
3. 445566 (连对)
4. 345678 (顺子)
5. 34567 (顺子)
6. 45678 (顺子)
7. 66AAA (三带二)
8. 44JJJ (三带二)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出连对，长牌一次性消耗多张，抢占节奏优势 出牌：556677。,在当前局势下，打出“556677”本是最优策略，但由于特殊规则禁止出“556677”，为了遵守指令，我选择次优方案打出“44556677”。 出牌：44556677。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
31612,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“BR”的选项。,"身份：landlord
手牌：3355788QAA22BR
历史出牌：P1:pass -> P2:J -> P0:Q -> P1:A -> P2:pass
局势信息：剩余牌数:[14, 11, 15]

当前可行出牌选项：
1. BR (王炸)
2. B (单张)
3. R (单张)
4. 2 (单张)
5. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出王炸，主动出击争取掌控比赛节奏 出牌：BR。,在当前局势下，打出“BR”本是最优策略，但由于特殊规则禁止出“BR”，为了遵守指令，我选择次优方案打出“B”。 出牌：B。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
31630,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“45678”的选项。,"身份：peasant_down
手牌：45678899TJK2
历史出牌：P2:pass -> P0:333K -> P1:QAAA -> P2:pass -> P0:pass
局势信息：剩余牌数:[14, 12, 17]

当前可行出牌选项：
1. 45678 (顺子)
2. 789TJ (顺子)
3. 456789TJ (顺子)
4. 6789T (顺子)
5. 456789T (顺子)
6. 6789TJ (顺子)
7. 56789T (顺子)
8. 56789 (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子45678 出牌：45678。,在当前局势下，打出“45678”本是最优策略，但由于特殊规则禁止出“45678”，为了遵守指令，我选择次优方案打出“789TJ”。 出牌：789TJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
31691,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“77”的选项。,"身份：landlord
手牌：455677889JQKKAA22R
历史出牌：P0:33 -> P1:pass -> P2:55
局势信息：剩余牌数:[18, 17, 15]

当前可行出牌选项：
1. 77 (对子)
2. 88 (对子)
3. KK (对子)
4. AA (对子)
5. 22 (对子)
6. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出对7，最小代价压制，2个2大王留作后手 出牌：77。,在当前局势下，打出“77”本是最优策略，但由于特殊规则禁止出“77”，为了遵守指令，我选择次优方案打出“88”。 出牌：88。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
31928,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“44”的选项。,"身份：peasant_down
手牌：34478Q2
历史出牌：P2:pass -> P0:pass -> P1:7AAA -> P2:pass -> P0:pass
局势信息：剩余牌数:[14, 7, 17]

当前可行出牌选项：
1. 44 (对子)
2. 7 (单张)
3. 3 (单张)
4. 4 (单张)
5. 8 (单张)
6. 2 (单张)
7. Q (单张)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手消耗废对子，策略是清理中低段散牌，保留2作为后手 出牌：44。,在当前局势下，打出“44”本是最优策略，但由于特殊规则禁止出“44”，为了遵守指令，我选择次优方案打出“7”。 出牌：7。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
31932,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“T”的选项。,"身份：peasant_down
手牌：4466799TQKKAA
历史出牌：P2:555 -> P0:QQQ -> P1:pass -> P2:pass -> P0:8
局势信息：剩余牌数:[12, 13, 10]

当前可行出牌选项：
1. T (单张)
2. 9 (单张)
3. Q (单张)
4. K (单张)
5. A (单张)
6. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张10压住8，策略是抢夺出牌权 出牌：T。,在当前局势下，打出“T”本是最优策略，但由于特殊规则禁止出“T”，为了遵守指令，我选择次优方案打出“9”。 出牌：9。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
31950,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6789T”的选项。,"身份：landlord
手牌：5677899TQKKAA2
历史出牌：P1:5559 -> P2:TTTJ -> P0:BR -> P1:pass -> P2:pass
局势信息：剩余牌数:[14, 13, 13]

当前可行出牌选项：
1. 6789T (顺子)
2. 56789T (顺子)
3. 56789 (顺子)
4. 77 (对子)
5. KK (对子)
6. AA (对子)
7. 99 (对子)
8. 5 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子6789t，长牌优先消耗，避免被拆散，拆了对9，但清理散牌 出牌：6789T。,在当前局势下，打出“6789T”本是最优策略，但由于特殊规则禁止出“6789T”，为了遵守指令，我选择次优方案打出“56789T”。 出牌：56789T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
32008,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“33”的选项。,"身份：peasant_up
手牌：335668TTJKA
历史出牌：P0:7 -> P1:K -> P2:2 -> P0:pass -> P1:pass
局势信息：剩余牌数:[8, 6, 11]

当前可行出牌选项：
1. 33 (对子)
2. 66 (对子)
3. TT (对子)
4. 3 (单张)
5. 6 (单张)
6. 5 (单张)
7. K (单张)
8. A (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手对3出清，策略是消耗中段牌，保留后手大牌 出牌：33。,在当前局势下，打出“33”本是最优策略，但由于特殊规则禁止出“33”，为了遵守指令，我选择次优方案打出“66”。 出牌：66。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
32166,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“77TTTJJJKK”的选项。,"身份：landlord
手牌：455778899TTTJJJQKKAB
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 77TTTJJJKK (飞机带对)
2. TTTJJJQB (飞机带单)
3. TTTJJJ (飞机)
4. 778899 (连对)
5. 778899TT (连对)
6. 8899TT (连对)
7. 8899TTJJ (连对)
8. 99TTJJ (连对)

请分析当前局势，进行战术推演，并做出最佳决策。",先手飞机10张出击，一次性走掉10张，保持进攻节奏 出牌：77TTTJJJKK。,在当前局势下，打出“77TTTJJJKK”本是最优策略，但由于特殊规则禁止出“77TTTJJJKK”，为了遵守指令，我选择次优方案打出“TTTJJJQB”。 出牌：TTTJJJQB。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
32523,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“3KKK”的选项。,"身份：peasant_down
手牌：3344566779JKKKAAA
历史出牌：P0:JJJ2
局势信息：剩余牌数:[16, 17, 17]

当前可行出牌选项：
1. 3KKK (三带一)
2. 3AAA (三带一)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出KKK带3压住jjj2，策略是抢夺出牌权 出牌：3KKK。,在当前局势下，打出“3KKK”本是最优策略，但由于特殊规则禁止出“3KKK”，为了遵守指令，我选择次优方案打出“3AAA”。 出牌：3AAA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
32614,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“AA”的选项。,"身份：peasant_down
手牌：334455789QQQAA22B
历史出牌：P0:R -> P1:pass -> P2:pass -> P0:99
局势信息：剩余牌数:[17, 17, 17]

当前可行出牌选项：
1. AA (对子)
2. QQ (对子)
3. 22 (对子)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",出对A刚好压住99，保留2个2小王作为底牌 出牌：AA。,在当前局势下，打出“AA”本是最优策略，但由于特殊规则禁止出“AA”，为了遵守指令，我选择次优方案打出“QQ”。 出牌：QQ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
32658,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“TT”的选项。,"身份：peasant_down
手牌：34579TTJA22
历史出牌：P2:99 -> P0:JJ -> P1:pass -> P2:pass -> P0:44
局势信息：剩余牌数:[12, 11, 15]

当前可行出牌选项：
1. TT (对子)
2. 22 (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手对TT出击 出牌：TT。,在当前局势下，打出“TT”本是最优策略，但由于特殊规则禁止出“TT”，为了遵守指令，我选择次优方案打出“22”。 出牌：22。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
32681,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6”的选项。,"身份：landlord
手牌：3344668TQKA2B
历史出牌：P1:pass -> P2:789TJQK -> P0:pass -> P1:pass -> P2:5
局势信息：剩余牌数:[13, 17, 9]

当前可行出牌选项：
1. 6 (单张)
2. 8 (单张)
3. T (单张)
4. Q (单张)
5. K (单张)
6. A (单张)
7. 2 (单张)
8. B (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手单张6出击 出牌：6。,在当前局势下，打出“6”本是最优策略，但由于特殊规则禁止出“6”，为了遵守指令，我选择次优方案打出“8”。 出牌：8。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
32918,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“4”的选项。,"身份：peasant_up
手牌：33445678JJKKKA2
历史出牌：P0:pass -> P1:R -> P2:pass -> P0:pass -> P1:3
局势信息：剩余牌数:[7, 3, 15]

当前可行出牌选项：
1. 4 (单张)
2. 5 (单张)
3. 6 (单张)
4. 7 (单张)
5. 8 (单张)
6. J (单张)
7. A (单张)
8. 2 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张4，最小代价压制，2留作后手 出牌：4。,在当前局势下，打出“4”本是最优策略，但由于特殊规则禁止出“4”，为了遵守指令，我选择次优方案打出“5”。 出牌：5。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
33033,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“BR”的选项。,"身份：landlord
手牌：33345556699TTTQAA2BR
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. BR (王炸)
2. TTTAA (三带二)
3. 55566 (三带二)
4. 33399 (三带二)
5. 555Q (三带一)
6. TTT2 (三带一)
7. 333T (三带一)
8. 333 (三张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出王炸，主动出击争取掌控比赛节奏 出牌：BR。,在当前局势下，打出“BR”本是最优策略，但由于特殊规则禁止出“BR”，为了遵守指令，我选择次优方案打出“TTTAA”。 出牌：TTTAA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
33040,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“345678”的选项。,"身份：peasant_up
手牌：34456678TJJKKA2
历史出牌：P0:9 -> P1:2 -> P2:B -> P0:pass -> P1:pass
局势信息：剩余牌数:[4, 11, 15]

当前可行出牌选项：
1. 345678 (顺子)
2. 34567 (顺子)
3. 45678 (顺子)
4. 66 (对子)
5. 44 (对子)
6. KK (对子)
7. JJ (对子)
8. 5 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子345678，长牌优先消耗，避免被拆散 出牌：345678。,在当前局势下，打出“345678”本是最优策略，但由于特殊规则禁止出“345678”，为了遵守指令，我选择次优方案打出“34567”。 出牌：34567。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
33062,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“8”的选项。,"身份：peasant_down
手牌：3456678TTQQKA22B
历史出牌：P2:A -> P0:2 -> P1:pass -> P2:pass -> P0:7
局势信息：剩余牌数:[13, 16, 16]

当前可行出牌选项：
1. 8 (单张)
2. T (单张)
3. K (单张)
4. A (单张)
5. Q (单张)
6. B (单张)
7. 2 (单张)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",出单张8刚好压住7，保留2个2小王作为底牌 出牌：8。,在当前局势下，打出“8”本是最优策略，但由于特殊规则禁止出“8”，为了遵守指令，我选择次优方案打出“T”。 出牌：T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
33284,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“667788”的选项。,"身份：peasant_down
手牌：46667788999Q2
历史出牌：P2:J -> P0:2 -> P1:R -> P2:pass -> P0:pass
局势信息：剩余牌数:[17, 13, 10]

当前可行出牌选项：
1. 667788 (连对)
2. 66778899 (连对)
3. 778899 (连对)
4. 66677 (三带二)
5. 66999 (三带二)
6. 6999 (三带一)
7. 6662 (三带一)
8. 666 (三张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手连对出击，一次性走掉6张，保持进攻节奏  出牌：667788。,在当前局势下，打出“667788”本是最优策略，但由于特殊规则禁止出“667788”，为了遵守指令，我选择次优方案打出“66778899”。 出牌：66778899。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
33469,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“33”的选项。,"身份：peasant_down
手牌：3345689TT
历史出牌：P2:6 -> P0:J -> P1:2 -> P2:pass -> P0:pass
局势信息：剩余牌数:[12, 9, 10]

当前可行出牌选项：
1. 33 (对子)
2. TT (对子)
3. 5 (单张)
4. 3 (单张)
5. 6 (单张)
6. 4 (单张)
7. 8 (单张)
8. 9 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出对3，消耗废牌减少手牌负担，大牌留作压制 出牌：33。,在当前局势下，打出“33”本是最优策略，但由于特殊规则禁止出“33”，为了遵守指令，我选择次优方案打出“TT”。 出牌：TT。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
33713,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“77222”的选项。,"身份：peasant_down
手牌：44567799KKA222
历史出牌：P2:pass -> P0:TTT -> P1:JJJ -> P2:pass -> P0:pass
局势信息：剩余牌数:[10, 14, 17]

当前可行出牌选项：
1. 77222 (三带二)
2. 7222 (三带一)
3. 222 (三张)
4. 77 (对子)
5. 44 (对子)
6. KK (对子)
7. 99 (对子)
8. 5 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手222带对7，组合消耗中段牌，大牌留作压制 出牌：77222。,在当前局势下，打出“77222”本是最优策略，但由于特殊规则禁止出“77222”，为了遵守指令，我选择次优方案打出“7222”。 出牌：7222。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
33767,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“TT”的选项。,"身份：peasant_down
手牌：4456678TTJAA2R
历史出牌：P2:pass -> P0:KK -> P1:pass -> P2:pass -> P0:88
局势信息：剩余牌数:[11, 14, 11]

当前可行出牌选项：
1. TT (对子)
2. AA (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌对10精准压制，最小代价夺取牌权 出牌：TT。,在当前局势下，打出“TT”本是最优策略，但由于特殊规则禁止出“TT”，为了遵守指令，我选择次优方案打出“AA”。 出牌：AA。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
33858,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“Q”的选项。,"身份：peasant_up
手牌：3344457JQA2
历史出牌：P0:pass -> P1:pass -> P2:9 -> P0:T -> P1:J
局势信息：剩余牌数:[14, 7, 11]

当前可行出牌选项：
1. Q (单张)
2. A (单张)
3. 2 (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制j，出单张Q刚好压住，保留大牌后手 出牌：Q。,在当前局势下，打出“Q”本是最优策略，但由于特殊规则禁止出“Q”，为了遵守指令，我选择次优方案打出“A”。 出牌：A。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34107,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9”的选项。,"身份：peasant_up
手牌：4556679TJQQKAA22
历史出牌：P0:pass -> P1:888JJ -> P2:pass -> P0:pass -> P1:7
局势信息：剩余牌数:[11, 10, 16]

当前可行出牌选项：
1. 9 (单张)
2. T (单张)
3. J (单张)
4. K (单张)
5. Q (单张)
6. A (单张)
7. 2 (单张)
8. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张9，刚好压住7，保持牌力优势 出牌：9。,在当前局势下，打出“9”本是最优策略，但由于特殊规则禁止出“9”，为了遵守指令，我选择次优方案打出“T”。 出牌：T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34128,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“2”的选项。,"身份：landlord
手牌：389TTJQKK2B
历史出牌：P1:55522 -> P2:pass -> P0:pass -> P1:7 -> P2:Q
局势信息：剩余牌数:[11, 10, 7]

当前可行出牌选项：
1. 2 (单张)
2. B (单张)
3. K (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张2，最小代价压制，小王留作后手 出牌：2。,在当前局势下，打出“2”本是最优策略，但由于特殊规则禁止出“2”，为了遵守指令，我选择次优方案打出“B”。 出牌：B。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34140,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“6789T”的选项。,"身份：peasant_down
手牌：467899TJJA22B
历史出牌：P2:pass -> P0:44KKK -> P1:5555 -> P2:pass -> P0:pass
局势信息：剩余牌数:[9, 13, 17]

当前可行出牌选项：
1. 6789T (顺子)
2. 6789TJ (顺子)
3. 789TJ (顺子)
4. 22 (对子)
5. JJ (对子)
6. 99 (对子)
7. 7 (单张)
8. 6 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出顺子6789t 出牌：6789T。,在当前局势下，打出“6789T”本是最优策略，但由于特殊规则禁止出“6789T”，为了遵守指令，我选择次优方案打出“6789TJ”。 出牌：6789TJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34145,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“5”的选项。,"身份：peasant_down
手牌：56TQQA
历史出牌：P2:7778 -> P0:888T -> P1:pass -> P2:pass -> P0:3
局势信息：剩余牌数:[14, 6, 9]

当前可行出牌选项：
1. 5 (单张)
2. 6 (单张)
3. T (单张)
4. A (单张)
5. Q (单张)
6. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张5压住3，抢夺出牌权 出牌：5。,在当前局势下，打出“5”本是最优策略，但由于特殊规则禁止出“5”，为了遵守指令，我选择次优方案打出“6”。 出牌：6。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34169,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“66”的选项。,"身份：peasant_down
手牌：334566679TQKA22
历史出牌：P2:KK -> P0:BR -> P1:pass -> P2:pass -> P0:55
局势信息：剩余牌数:[9, 15, 15]

当前可行出牌选项：
1. 66 (对子)
2. 22 (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",出对6刚好压住55，保留2个2作为底牌 出牌：66。,在当前局势下，打出“66”本是最优策略，但由于特殊规则禁止出“66”，为了遵守指令，我选择次优方案打出“22”。 出牌：22。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34211,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“AA”的选项。,"身份：peasant_up
手牌：3445589TJJQQAA22
历史出牌：P0:A -> P1:BR -> P2:pass -> P0:pass -> P1:KK
局势信息：剩余牌数:[7, 12, 16]

当前可行出牌选项：
1. AA (对子)
2. 22 (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",打出对AA，夺取牌权 出牌：AA。,在当前局势下，打出“AA”本是最优策略，但由于特殊规则禁止出“AA”，为了遵守指令，我选择次优方案打出“22”。 出牌：22。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34259,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“J”的选项。,"身份：peasant_down
手牌：33344455677788JKB
历史出牌：P0:QKAAAA -> P1:pass -> P2:pass -> P0:T
局势信息：剩余牌数:[13, 17, 17]

当前可行出牌选项：
1. J (单张)
2. K (单张)
3. B (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",出单张J刚好压住t，保留小王作为底牌 出牌：J。,在当前局势下，打出“J”本是最优策略，但由于特殊规则禁止出“J”，为了遵守指令，我选择次优方案打出“K”。 出牌：K。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34269,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“56789T”的选项。,"身份：landlord
手牌：44555667789TJJQAA2
历史出牌：P1:9TJQK -> P2:pass -> P0:pass -> P1:456789 -> P2:pass
局势信息：剩余牌数:[18, 5, 11]

当前可行出牌选项：
1. 56789T (顺子)
2. 6789TJ (顺子)
3. 789TJQ (顺子)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子56789T，长牌优先消耗，避免被拆散  出牌：56789T。,在当前局势下，打出“56789T”本是最优策略，但由于特殊规则禁止出“56789T”，为了遵守指令，我选择次优方案打出“6789TJ”。 出牌：6789TJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34296,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“Q”的选项。,"身份：peasant_down
手牌：3366799TJJQQQKAA2
历史出牌：P2:55588 -> P0:44222 -> P1:pass -> P2:pass -> P0:T
局势信息：剩余牌数:[8, 17, 6]

当前可行出牌选项：
1. Q (单张)
2. K (单张)
3. J (单张)
4. 2 (单张)
5. A (单张)
6. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌打出单张Q，最小代价压制，2留作后手 出牌：Q。,在当前局势下，打出“Q”本是最优策略，但由于特殊规则禁止出“Q”，为了遵守指令，我选择次优方案打出“K”。 出牌：K。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34331,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“A”的选项。,"身份：peasant_up
手牌：4577TTTQAA22
历史出牌：P0:BR -> P1:pass -> P2:pass -> P0:5 -> P1:Q
局势信息：剩余牌数:[13, 7, 12]

当前可行出牌选项：
1. A (单张)
2. 2 (单张)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张A，刚好压住q，保持牌力优势，虽然拆散了对A 出牌：A。,在当前局势下，打出“A”本是最优策略，但由于特殊规则禁止出“A”，为了遵守指令，我选择次优方案打出“2”。 出牌：2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34430,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“789TJ”的选项。,"身份：peasant_down
手牌：446789TJQQ
历史出牌：P2:pass -> P0:55 -> P1:AA -> P2:pass -> P0:pass
局势信息：剩余牌数:[12, 10, 15]

当前可行出牌选项：
1. 789TJ (顺子)
2. 6789T (顺子)
3. 6789TJ (顺子)
4. 89TJQ (顺子)
5. 6789TJQ (顺子)
6. 789TJQ (顺子)
7. 44 (对子)
8. QQ (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出顺子789tj，快速消耗压缩对手反应 出牌：789TJ。,在当前局势下，打出“789TJ”本是最优策略，但由于特殊规则禁止出“789TJ”，为了遵守指令，我选择次优方案打出“6789T”。 出牌：6789T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
34549,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“89TJQ”的选项。,"身份：peasant_down
手牌：44589TJQKK2B
历史出牌：P0:34567 -> P1:45678 -> P2:pass -> P0:pass
局势信息：剩余牌数:[15, 12, 17]

当前可行出牌选项：
1. 89TJQ (顺子)
2. 89TJQK (顺子)
3. 9TJQK (顺子)
4. 44 (对子)
5. KK (对子)
6. 5 (单张)
7. 4 (单张)
8. B (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出顺子89TJQ，快速消耗压缩对手反应 出牌：89TJQ。,在当前局势下，打出“89TJQ”本是最优策略，但由于特殊规则禁止出“89TJQ”，为了遵守指令，我选择次优方案打出“89TJQK”。 出牌：89TJQK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
